CNT,IC177Q01JA,IC177Q02JA,IC177Q03JA,IC177Q04JA,IC177Q05JA,IC177Q06JA,IC177Q07JA,IC178Q01JA,IC178Q02JA,IC178Q03JA,IC178Q04JA,IC178Q05JA,IC178Q06JA,IC178Q07JA,Math_mean,ST296Q01JA
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,571.0812,$null$
HKG,4,3,3,2,2,1,1,3,3,3,2,2,1,1,619.4514,2
HKG,5,5,5,5,5,5,5,5,5,5,5,5,5,5,320.6048,2
HKG,2,2,4,3,2,2,1,1,2,5,2,1,2,1,629.1774,3
HKG,2,2,2,2,2,2,2,2,2,2,2,2,2,2,516.9654,3
HKG,5,5,5,5,5,5,5,5,5,5,5,5,5,5,460.6478,2
HKG,99,99,99,99,99,99,99,4,3,4,3,3,4,99,545.6654,3
HKG,3,2,3,2,2,2,2,3,2,3,2,2,2,3,693.5282,2
HKG,4,4,4,4,4,4,1,4,4,4,4,4,4,1,680.4003,3
HKG,4,4,2,2,4,2,3,5,5,2,2,5,2,3,597.0751,2
HKG,2,3,3,3,3,3,2,2,3,3,3,3,3,3,576.0599,2
HKG,3,3,2,2,3,2,1,2,2,2,2,2,2,1,710.462,3
HKG,3,4,5,1,3,3,1,4,3,5,2,4,2,1,725.9153,3
HKG,6,6,6,1,1,1,1,6,6,6,1,1,1,1,599.6603,1
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,653.2569,$null$
HKG,3,1,2,1,1,2,1,3,1,3,1,1,2,1,529.1599,3
HKG,3,4,4,4,4,2,2,3,4,4,4,4,2,2,441.7771,3
HKG,6,6,6,3,6,4,5,6,6,6,3,6,4,5,598.3991,3
HKG,5,5,5,2,4,1,1,6,6,6,3,5,1,1,656.3665,3
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,510.5863,$null$
HKG,1,6,1,1,1,1,1,1,6,1,1,1,1,1,434.6096,1
HKG,4,3,2,2,2,3,2,4,2,1,1,1,1,1,647.032,4
HKG,6,6,99,2,2,2,2,5,5,2,2,2,2,2,452.0442,3
HKG,2,2,2,2,1,2,2,3,3,2,2,1,2,2,632.3783,1
HKG,1,3,3,2,3,3,3,1,3,3,2,3,3,3,542.4159,3
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,576.9381,$null$
HKG,2,5,5,1,4,1,2,2,4,4,1,3,1,2,485.1857,4
HKG,4,2,2,2,2,2,2,6,2,4,2,2,2,1,559.2547,3
HKG,3,3,3,3,3,3,3,4,3,4,2,2,2,2,655.263,3
HKG,5,3,1,1,1,1,1,5,5,1,1,1,1,1,613.439,3
HKG,3,2,2,1,1,1,1,3,2,2,1,1,1,1,634.9966,1
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,678.7809,$null$
HKG,4,3,3,2,3,2,2,3,3,3,2,2,2,1,587.0487,1
HKG,2,3,3,2,3,2,1,1,3,3,2,3,2,1,609.9964,2
HKG,3,2,3,1,1,1,1,4,2,3,1,1,1,1,619.9167,2
HKG,2,2,2,2,3,2,2,3,3,3,2,3,1,2,614.8716,2
HKG,4,4,4,2,2,2,2,99,99,99,99,99,99,99,524.9391,4
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,420.8093,1
HKG,3,3,3,3,3,3,3,3,3,3,3,3,3,3,433.2869,2
HKG,6,4,5,6,6,6,6,6,6,6,6,6,6,6,518.1306,3
HKG,1,3,3,4,3,5,5,1,3,4,3,3,3,3,484.8564,2
HKG,4,4,4,4,4,4,2,5,5,5,5,5,5,5,571.7815,2
HKG,4,3,2,3,3,3,3,5,1,2,2,1,1,1,488.9087,1
HKG,5,2,2,2,2,2,2,5,1,1,1,1,1,1,466.6988,3
HKG,4,4,3,4,4,3,1,4,3,3,2,3,1,1,389.772,3
HKG,1,3,3,2,3,2,3,1,5,4,3,5,2,4,606.8056,3
HKG,6,6,6,3,6,2,6,6,6,6,3,6,2,4,579.1509,2
HKG,3,2,99,2,2,2,2,4,2,3,99,2,2,3,621.9926,2
HKG,3,4,4,5,3,5,4,5,5,4,4,4,5,5,474.1281,1
HKG,3,2,3,1,3,1,2,3,3,1,1,3,1,2,389.5037,6
HKG,4,4,3,3,3,3,3,4,3,3,3,3,3,3,447.7064,1
HKG,1,4,4,3,4,3,3,1,4,4,3,5,3,3,631.2423,2
HKG,2,3,1,2,2,2,1,2,3,2,2,2,1,1,633.2667,3
HKG,3,4,6,4,4,2,4,3,4,6,1,4,1,5,615.3284,1
HKG,4,4,4,4,4,4,4,4,99,3,2,2,2,2,470.4331,$null$
HKG,2,3,3,2,1,2,1,2,3,3,3,2,3,2,506.488,2
HKG,4,4,3,3,4,4,2,4,4,3,2,4,3,3,656.5691,3
HKG,3,2,3,1,2,1,1,4,2,3,1,1,1,1,658.4978,2
HKG,5,2,5,2,2,2,1,5,2,5,2,5,2,5,619.6858,3
HKG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,489.3861,2
HKG,3,3,3,3,3,3,3,3,3,3,3,3,3,3,483.7192,3
HKG,6,2,2,2,2,2,2,6,6,2,2,2,2,2,640.6675,1
HKG,3,2,2,2,2,2,2,3,2,2,2,2,2,2,619.3476,2
HKG,2,3,3,2,2,2,2,3,4,4,2,2,2,2,686.8405,3
HKG,5,4,3,3,3,3,4,2,4,2,3,3,3,4,567.7036,3
HKG,2,3,2,2,3,2,2,2,4,3,2,4,2,2,624.5763,3
HKG,4,4,3,3,3,3,3,3,4,5,3,5,3,2,492.3693,4
HKG,2,2,2,2,2,2,2,3,3,3,3,3,3,3,464.1343,2
HKG,3,2,3,3,2,3,2,3,2,3,3,3,3,2,536.7041,3
HKG,3,2,3,1,2,1,2,2,3,2,3,2,1,1,643.8543,2
HKG,1,2,6,6,6,6,6,2,2,2,2,2,2,2,650.9442,1
HKG,3,4,3,1,3,3,3,2,3,3,1,3,3,1,598.8824,2
HKG,3,3,3,2,2,3,1,4,3,1,2,2,5,1,707.449,1
HKG,4,4,4,4,4,4,4,3,3,3,3,3,3,3,544.0091,2
HKG,5,5,5,5,5,5,5,5,5,5,5,5,5,5,484.0161,2
HKG,3,3,3,3,3,3,3,2,2,2,2,2,2,2,535.1242,2
HKG,2,3,3,3,4,2,2,3,3,4,2,3,2,2,624.7286,2
HKG,2,2,1,2,2,1,1,1,2,1,2,2,2,2,604.6173,2
HKG,3,2,3,3,2,3,1,3,2,4,4,2,4,1,716.4252,1
HKG,3,3,3,2,3,2,2,3,3,3,2,3,3,2,699.378,3
HKG,1,3,3,3,3,3,3,3,3,3,3,3,3,3,494.2848,2
HKG,6,6,3,6,6,6,6,6,6,4,4,6,4,4,457.5125,1
HKG,2,3,2,3,3,3,2,3,3,2,3,3,2,2,637.1019,2
HKG,4,3,3,4,4,4,4,3,3,3,3,3,3,3,449.8981,2
HKG,6,6,4,3,5,2,2,6,6,5,2,5,2,2,476.1403,1
HKG,3,4,4,3,2,1,1,4,3,5,2,2,1,1,628.5691,3
HKG,3,3,3,3,3,3,3,3,3,3,4,4,3,4,408.5225,2
HKG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,490.1787,6
HKG,2,4,4,3,4,3,3,1,4,4,4,3,2,2,382.857,6
HKG,2,3,3,3,2,3,1,1,3,3,3,3,99,3,492.9777,1
HKG,2,3,3,2,3,2,2,2,3,2,2,3,2,2,605.0058,3
HKG,6,6,6,2,6,2,2,6,6,6,6,6,6,6,563.9262,3
HKG,5,5,4,3,3,3,3,5,5,4,3,3,3,3,561.5002,4
HKG,1,2,2,2,2,2,2,2,2,2,2,2,2,2,365.5036,1
HKG,6,6,5,5,6,3,2,6,6,2,1,6,2,1,478.0573,1
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,427.0899,4
HKG,3,2,3,3,2,2,2,3,2,3,2,2,2,2,722.6854,2
HKG,2,4,4,2,4,3,3,2,5,5,2,5,5,2,411.5667,1
HKG,6,3,6,2,3,3,2,6,3,6,2,2,2,1,713.6279,1
HKG,4,2,3,2,2,2,1,5,2,4,2,2,2,1,630.3598,1
HKG,3,3,3,3,3,3,3,3,3,3,3,3,3,3,636.7595,1
HKG,4,3,3,1,3,1,3,4,3,3,1,3,1,3,606.702,3
HKG,1,6,3,3,5,1,4,1,6,3,3,6,1,3,469.2981,3
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,682.5895,3
HKG,3,3,3,3,3,3,3,3,3,3,3,3,3,3,584.4575,2
HKG,2,2,2,3,2,3,2,3,3,3,3,3,2,2,460.3262,3
HKG,5,5,3,2,3,2,1,5,5,2,3,4,2,4,434.0781,2
HKG,2,3,2,2,2,2,2,3,3,2,2,2,2,2,693.1976,2
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,611.0326,$null$
HKG,5,5,5,5,5,5,5,4,4,4,4,4,4,4,460.5693,1
HKG,99,99,99,99,3,99,5,99,99,99,99,99,99,99,565.0426,1
HKG,5,5,4,4,4,4,4,4,4,5,3,3,5,5,381.1127,1
HKG,1,2,2,1,1,1,1,1,2,1,1,1,2,2,589.6045,2
HKG,6,2,2,4,3,6,1,6,2,3,3,3,6,1,647.909,2
HKG,2,2,2,2,2,2,2,2,2,2,2,2,2,2,579.8366,6
HKG,3,3,3,1,3,1,1,3,3,3,1,3,1,1,606.078,3
HKG,5,1,2,1,1,1,1,5,1,3,1,1,1,1,597.0368,2
HKG,3,3,3,3,3,3,3,3,3,2,3,2,3,3,677.7854,2
HKG,5,3,3,1,2,1,1,5,3,3,1,2,1,1,603.5448,2
HKG,3,2,2,2,3,3,2,3,3,3,3,3,3,3,344.524,1
HKG,4,4,4,4,4,4,4,5,5,5,5,5,5,5,485.2446,3
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,459.5551,$null$
HKG,5,2,5,3,2,1,3,6,3,6,3,3,1,3,508.7147,2
HKG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,624.7596,2
HKG,2,3,2,3,3,2,2,2,3,2,3,3,2,2,453.2495,1
HKG,4,4,4,4,4,4,4,5,5,4,4,5,4,4,555.3968,2
HKG,3,1,1,1,1,1,1,3,1,1,1,1,1,1,693.0422,1
HKG,6,6,6,1,1,2,1,6,6,2,1,3,1,1,531.4595,1
HKG,5,4,3,2,3,2,4,5,3,3,1,3,2,4,466.252,2
HKG,4,3,1,1,1,1,1,4,3,2,1,1,1,1,555.5999,6
HKG,1,2,3,1,1,1,2,1,2,2,1,2,1,1,495.1062,2
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,474.5085,3
HKG,3,2,3,2,2,2,3,3,2,2,2,2,2,2,681.0781,1
HKG,2,2,5,3,2,3,1,2,3,6,4,2,2,1,629.2919,2
HKG,3,6,6,2,2,99,99,3,6,99,99,3,3,99,616.8171,1
HKG,6,5,5,5,5,4,5,6,5,4,4,4,2,3,411.2354,3
HKG,4,4,4,2,4,3,3,4,4,4,4,4,4,4,477.71,3
HKG,6,3,3,2,2,2,3,5,4,3,4,3,2,4,521.8671,3
HKG,5,2,2,2,2,2,2,5,2,2,2,2,2,2,583.5531,2
HKG,4,3,3,2,2,2,2,5,2,2,2,2,2,2,673.689,3
HKG,2,4,6,3,6,3,1,2,5,6,3,6,4,1,512.7051,3
HKG,4,4,4,4,4,4,4,3,4,5,5,4,5,4,369.5648,4
HKG,1,1,4,1,4,99,3,3,5,3,5,4,3,3,524.7325,1
HKG,2,3,2,1,2,2,2,3,3,2,1,2,2,3,637.6229,3
HKG,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,$null$,491.3651,$null$
HKG,3,1,2,2,1,2,2,3,1,2,2,1,2,2,579.2018,3
HKG,3,2,4,1,1,1,1,4,2,5,1,1,1,1,714.0933,1
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,388.8743,4
HKG,4,1,2,1,1,1,1,5,1,1,1,2,1,1,680.1172,2
HKG,3,4,3,4,3,4,4,3,4,4,4,4,4,4,490.0884,1
HKG,2,3,3,1,2,1,1,2,2,2,1,2,1,1,649.4258,2
HKG,3,6,6,4,5,3,4,5,5,5,5,5,5,5,382.4132,1
HKG,2,3,3,3,3,3,3,1,2,2,2,2,2,2,611.0711,1
HKG,2,3,3,3,3,2,3,2,3,3,3,3,2,3,592.3548,1
HKG,1,4,2,3,1,2,2,2,4,2,2,2,2,1,418.2421,1
HKG,4,3,3,2,3,2,1,5,4,3,2,3,1,1,651.5029,2
HKG,3,3,2,2,3,3,1,99,3,99,4,3,3,2,579.8151,3
HKG,2,3,5,2,2,1,3,2,2,3,3,2,2,3,666.3901,2
HKG,3,4,6,2,2,1,1,4,4,6,3,2,1,1,668.7716,1
HKG,1,3,1,1,1,1,2,1,4,1,1,1,1,1,599.4107,2
HKG,2,1,2,2,3,1,1,2,1,2,2,6,1,1,492.7255,2
HKG,1,2,2,2,2,2,2,1,2,2,2,2,2,2,278.6501,2
HKG,5,4,4,4,4,4,4,5,4,5,5,4,5,99,532.8273,2
HKG,1,2,2,1,3,2,1,1,2,2,1,3,2,1,631.7309,1
HKG,2,2,2,2,2,2,1,4,3,2,2,2,2,1,592.2977,3
HKG,3,3,3,2,2,2,2,4,3,2,2,2,3,3,666.6562,1
HKG,5,2,2,1,2,1,1,6,1,1,1,1,2,2,567.6441,1
HKG,3,2,2,2,2,3,2,4,2,4,2,2,3,3,470.4891,4
HKG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,416.8268,2
HKG,3,4,5,3,3,3,1,3,4,5,3,3,3,1,614.21,2
HKG,4,2,3,2,2,3,2,5,2,3,2,2,3,2,520.8657,4
HKG,6,6,6,2,6,2,2,6,6,6,2,6,2,2,720.6971,2
HKG,2,3,3,2,2,2,2,3,3,2,2,2,2,2,463.7362,3
HKG,5,2,3,2,2,2,1,5,3,4,2,2,2,1,657.9606,4
